Year-Month,Price_per_Liter
2019-01-01,0.11685534591194967
2019-02-01,0.11861635220125785
2019-03-01,0.1249056603773585
2019-04-01,0.11937106918238995
2019-05-01,0.1151572327044025
2019-06-01,0.1179874213836478
2019-07-01,0.1118238993710692
2019-08-01,0.10723270440251573
2019-09-01,0.10534591194968554
2019-10-01,0.0989308176100629
2019-11-01,0.09264150943396227
2019-12-01,0.10440251572327044
2020-01-01,0.10257861635220125
2020-02-01,0.09773584905660376
2020-03-01,0.09377358490566037
2020-04-01,0.09364779874213837
2020-05-01,0.0828930817610063
2020-06-01,0.0780503144654088
2020-07-01,0.08188679245283019
2020-08-01,0.09628930817610064
2020-09-01,0.10798742138364781
2020-10-01,0.10622641509433962
2020-11-01,0.11761006289308176
2020-12-01,0.12779874213836478
2021-01-01,0.11716981132075471
2021-02-01,0.11113207547169812
2021-03-01,0.11081761006289309
2021-04-01,0.10547169811320754
2021-05-01,0.11176100628930817
2021-06-01,0.1189308176100629
2021-07-01,0.11779874213836478
2021-08-01,0.12477987421383648
2021-09-01,0.13364779874213836
2021-10-01,0.12459119496855345
2021-11-01,0.11566037735849057
2021-12-01,0.10446540880503144
2022-01-01,0.10283018867924529
2022-02-01,0.09496855345911949
2022-03-01,0.10798742138364781
2022-04-01,0.1708805031446541
2022-05-01,0.21949685534591193
2022-06-01,0.22654088050314466
2022-07-01,0.2079874213836478
2022-08-01,0.17779874213836477
2022-09-01,0.14823899371069182
2022-10-01,0.12289308176100629
2022-11-01,0.12
2022-12-01,0.12062893081761006
2023-01-01,0.12069182389937108
2023-02-01,0.11427672955974844
2023-03-01,0.12201257861635219
2023-04-01,0.12433962264150943
2023-05-01,0.1289308176100629
2023-06-01,0.13968553459119498
2023-07-01,0.13276729559748426
2023-08-01,0.11578616352201258
2023-09-01,0.11421383647798743
2023-10-01,0.11352201257861635
2023-11-01,0.11088050314465409
2023-12-01,0.1189937106918239
2024-01-01,0.12509433962264152
2024-02-01,0.1330817610062893
2024-03-01,0.1272955974842767
2024-04-01,0.1241509433962264
2024-05-01,0.12748427672955975
2024-06-01,0.12742138364779876
2024-07-01,0.12081761006289309
2024-08-01,0.11408805031446541
2024-09-01,0.10937106918238994
2024-10-01,0.11616352201257861
2024-11-01,0.11817610062893082
2024-12-01,0.11742138364779875
